"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"96",6438,14171,"Platycephalus grandispinis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,14341
"97",835,966,"Platycephalus indicus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",2,"2015-07-20T00:00:00.000Z",NA,NA,"Also Ref. 103751.",NA,950
"98",8680,43557,"Platycephalus laevigatus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,52356
"99",8678,43555,"Platycephalus marmoratus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,52355
"100",10002,55294,"Platycephalus orbitalis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,65207
"101",1936,3748,"Platycephalus speculator",34078,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",1,34078,"nonguarders",NA,"none","1",205,NA,NA,2,"2000-05-19T00:00:00.000Z",2,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,3552
"102",10076,56626,"Platycephalus westraliae",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,66159
"103",331,526,"Pleurogrammus azonus",559,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,10,"1994-09-09T00:00:00.000Z",2,"2006-03-24T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","Female deposits egg mass in crevices or gravel in rocky coast less than 20 m depth. Male guards the eggs.",NA,510
"104",799,4233,"Pleurogrammus monopterygius",27369,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",0,NA,"guarders","nesters",NA,NA,NA,NA,NA,3,"1998-10-06T00:00:00.000Z",2,"2016-06-01T00:00:00.000Z",NA,NA,"Spawns twice a year (Ref. 28499). Eggs are deposited in rock crevices and are guarded by the male who continuously fans the egg mass with his pectoral fin until hatching (Ref. 28499), which occurs after 40-45 days (Ref. 27369).",NA,4037
"105",10767,19087,"Podothecus sachi",32372,"dioecism","internal (oviduct)",NA,NA,NA,NA,"one clear seasonal peak per year",0,32372,NA,NA,NA,NA,NA,NA,NA,2,"2014-08-27T00:00:00.000Z",NA,"2014-08-27T00:00:00.000Z",NA,NA,"Mature females are multiple spawners (Ref. 32372).",NA,24005
"106",4380,8535,"Pontinus sierra",36715,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,NA,NA,NA,NA,NA,2,"2000-12-08T00:00:00.000Z",NA,"2000-12-08T00:00:00.000Z",NA,NA,"Oviparous (Ref. 36715).",NA,8222
"107",10992,1259,"Prionotus carolinus",37799,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,2,"2015-05-20T00:00:00.000Z",2,"2017-07-24T00:00:00.000Z",NA,NA,"Oviparous (Ref. 37799).",NA,1243
